Stimulus,Condition,Voice,n_participants,mean_hit_rate,mean_fa_rate,corr_mem_score
HH_137_A,HH,Active,32,0.8125,0.15983072916666666,0.6526692708333334
HH_137_P,HH,Passive,36,0.8888888888888888,0.17216435185185186,0.716724537037037
HH_138_A,HH,Active,20,0.85,0.14479166666666668,0.7052083333333333
HH_138_P,HH,Passive,14,0.8571428571428571,0.15848214285714285,0.6986607142857142
HH_139_A,HH,Active,22,0.8636363636363636,0.18513257575757577,0.6785037878787878
HH_139_P,HH,Passive,19,0.8421052631578947,0.1567982456140351,0.6853070175438596
HH_140_A,HH,Active,25,0.84,0.17125,0.66875
HH_140_P,HH,Passive,26,0.8461538461538461,0.16105769230769232,0.6850961538461539
HH_141_A,HH,Active,22,0.7727272727272727,0.17945075757575757,0.5932765151515151
HH_141_P,HH,Passive,20,0.8,0.2015625,0.5984375000000001
HH_142_A,HH,Active,16,0.875,0.14908854166666666,0.7259114583333334
HH_142_P,HH,Passive,17,0.8823529411764706,0.13970588235294118,0.7426470588235294
HH_143_A,HH,Active,25,0.88,0.19708333333333333,0.6829166666666666
HH_143_P,HH,Passive,18,0.9444444444444444,0.15335648148148148,0.7910879629629629
HH_144_A,HH,Active,17,0.8235294117647058,0.16176470588235295,0.6617647058823529
HH_144_P,HH,Passive,17,0.9411764705882353,0.17401960784313728,0.767156862745098
HH_145_A,HH,Active,17,1.0,0.15625,0.84375
HH_145_P,HH,Passive,15,0.8,0.14097222222222222,0.6590277777777778
HH_146_A,HH,Active,18,0.7222222222222222,0.18229166666666666,0.5399305555555556
HH_146_P,HH,Passive,16,0.875,0.18098958333333334,0.6940104166666666
HH_147_A,HH,Active,15,0.8,0.2,0.6000000000000001
HH_147_P,HH,Passive,14,0.7857142857142857,0.20982142857142858,0.5758928571428571
HH_148_A,HH,Active,15,0.6666666666666666,0.19166666666666668,0.475
HH_148_P,HH,Passive,12,0.75,0.21875,0.53125
HH_149_A,HH,Active,16,0.8125,0.16145833333333334,0.6510416666666666
HH_149_P,HH,Passive,13,0.9230769230769231,0.20192307692307693,0.7211538461538463
HH_150_A,HH,Active,9,1.0,0.18634259259259262,0.8136574074074074
HH_150_P,HH,Passive,17,0.8235294117647058,0.16237745098039214,0.6611519607843137
HH_152_A,HH,Active,17,0.8823529411764706,0.16973039215686272,0.7126225490196079
HH_152_P,HH,Passive,13,0.8461538461538461,0.15785256410256412,0.688301282051282
HH_153_A,HH,Active,13,0.7692307692307693,0.08974358974358974,0.6794871794871795
HH_153_P,HH,Passive,21,0.8095238095238095,0.16666666666666666,0.6428571428571429
HH_154_A,HH,Active,20,0.9,0.15729166666666666,0.7427083333333333
HH_154_P,HH,Passive,14,0.8571428571428571,0.13616071428571427,0.7209821428571428
HH_155_A,HH,Active,15,0.7333333333333333,0.17430555555555557,0.5590277777777777
HH_155_P,HH,Passive,9,0.8888888888888888,0.16435185185185186,0.724537037037037
HH_156_A,HH,Active,9,0.8888888888888888,0.23495370370370372,0.6539351851851851
HH_156_P,HH,Passive,11,0.9090909090909091,0.2253787878787879,0.6837121212121211
HH_158_A,HH,Active,11,1.0,0.1571969696969697,0.8428030303030303
HH_158_P,HH,Passive,13,0.9230769230769231,0.2275641025641026,0.6955128205128205
HH_159_A,HH,Active,10,0.9,0.16041666666666665,0.7395833333333334
HH_159_P,HH,Passive,8,1.0,0.17838541666666666,0.8216145833333334
